y,u,mut,k,eps,v2,nuSA,T,alphat,epst,kt,om,fv2
0.0462888334,0.4002853102,0.0000516394,0.0081732077,0.0043468366,0.0001948714,0.0004403299,0.8415321603,0.0000000000,0.0008724519,0.0017583237,1.0000000000,0.0594175458
0.0492779039,0.4220069297,0.0000628002,0.0088504725,0.0044939300,0.0002254258,0.0004400642,0.8329045399,0.0000000000,0.0009101186,0.0019027583,1.0000000000,0.0627208403
0.0524112352,0.4438885869,0.0000754261,0.0095267350,0.0046401925,0.0002587389,0.0004397857,0.8241383660,0.0000000000,0.0009460867,0.0020478477,1.0000000000,0.0660954348
0.0556952793,0.4658562682,0.0000895980,0.0101923241,0.0047795156,0.0002947779,0.0004394938,0.8152593296,0.0000000000,0.0009796368,0.0021917833,1.0000000000,0.0695346059
0.0591367250,0.4878384047,0.0001054004,0.0108378013,0.0049063613,0.0003334740,0.0004391878,0.8062974026,0.0000000000,0.0010100400,0.0023325839,1.0000000000,0.0730307890
0.0627425009,0.5097669614,0.0001229212,0.0114543171,0.0050159435,0.0003747239,0.0004388673,0.7972867872,0.0000000000,0.0010365820,0.0024681444,1.0000000000,0.0765756728
0.0665197783,0.5315783477,0.0001422509,0.0120339139,0.0051043667,0.0004183911,0.0004385316,0.7882652951,0.0000000000,0.0010585981,0.0025963166,1.0000000000,0.0801603005
0.0704759731,0.5532141445,0.0001634817,0.0125697603,0.0051687146,0.0004643089,0.0004381799,0.7792731313,0.0000000000,0.0010755157,0.0027150179,1.0000000000,0.0837751767
0.0746187471,0.5746216426,0.0001867057,0.0130563059,0.0052070813,0.0005122840,0.0004378117,0.7703511974,0.0000000000,0.0010868984,0.0028223620,1.0000000000,0.0874103759
0.0789560085,0.5957541900,0.0002120142,0.0134893578,0.0052185485,0.0005620999,0.0004374261,0.7615391446,0.0000000000,0.0010924855,0.0029167884,1.0000000000,0.0910556518
0.0834959110,0.6165713505,0.0002394957,0.0138660822,0.0052031126,0.0006135220,0.0004370226,0.7528734674,0.0000000000,0.0010922158,0.0029971718,1.0000000000,0.0947005429
0.0882468523,0.6370388866,0.0002692353,0.0141849435,0.0051615757,0.0006663008,0.0004366003,0.7443859076,0.0000000000,0.0010862333,0.0030628911,1.0000000000,0.0983344737
0.0932174715,0.6571285865,0.0003013128,0.0144455935,0.0050954092,0.0007201767,0.0004361584,0.7361023570,0.0000000000,0.0010748720,0.0031138475,1.0000000000,0.1019468499
0.0984166444,0.6768179620,0.0003358020,0.0146487262,0.0050066058,0.0007748833,0.0004356963,0.7280423297,0.0000000000,0.0010586232,0.0031504328,1.0000000000,0.1055271447
0.1038534780,0.6960898457,0.0003727691,0.0147959125,0.0048975294,0.0008301510,0.0004352130,0.7202189666,0.0000000000,0.0010380921,0.0031734579,1.0000000000,0.1090649780
0.1095373034,0.7149319179,0.0004122720,0.0148894283,0.0047707736,0.0008857097,0.0004347078,0.7126394627,0.0000000000,0.0010139510,0.0031840576,1.0000000000,0.1125501863
0.1154776665,0.7333361906,0.0004543589,0.0149320865,0.0046290359,0.0009412912,0.0004341798,0.7053057722,0.0000000000,0.0009868947,0.0031835868,1.0000000000,0.1159728843
0.1216843175,0.7512984726,0.0004990674,0.0149270805,0.0044750102,0.0009966317,0.0004336281,0.6982154559,0.0000000000,0.0009576039,0.0031735220,1.0000000000,0.1193235200
0.1281671974,0.7688178342,0.0005464236,0.0148778439,0.0043113015,0.0010514730,0.0004330518,0.6913625557,0.0000000000,0.0009267170,0.0031553762,1.0000000000,0.1225929212
0.1349364233,0.7858960883,0.0005964413,0.0147879309,0.0041403618,0.0011055645,0.0004324501,0.6847384192,0.0000000000,0.0008948114,0.0031306325,1.0000000000,0.1257723374
0.1420022705,0.8025372966,0.0006491216,0.0146609162,0.0039644448,0.0011586641,0.0004318220,0.6783324283,0.0000000000,0.0008623937,0.0031006952,1.0000000000,0.1288534757
0.1493751529,0.8187473096,0.0007044526,0.0145003165,0.0037855788,0.0012105395,0.0004311667,0.6721326122,0.0000000000,0.0008298960,0.0030668591,1.0000000000,0.1318285332
0.1570655998,0.8345333418,0.0007624093,0.0143095292,0.0036055536,0.0012609696,0.0004304831,0.6661261411,0.0000000000,0.0007976772,0.0030302915,1.0000000000,0.1346902253
