yplus,eps_scaled,kt_scaled,tau_u,tau_t,Tplus
0,0.122907180498314,0,0,0,0
0.554285558374898,0.0439446786611392,0.163738711429725,0.0047187592485606,0.305046781971072,0.394204859623136
1.15333138870796,0.0365998253332286,0.278066008351128,0.354287648329128,1.05629882514946,0.818853349902625
1.80058403333034,0.0340978792429994,0.390813901484515,1.08716000004146,2.23966283218194,1.27592626294051
2.49972676531485,0.0346989494512149,0.506450782381764,2.19432461226365,3.69596773146861,1.76730660218224
3.2546909160008,0.0379006920975872,0.627695262635809,3.63086220413413,5.19781197822137,2.29452013104632
4.06966684366434,0.0435863616876023,0.756549691472203,5.33234930540072,6.56590058799849,2.85814072433658
4.94911433202327,0.0517885147469754,0.893865214653096,7.2251704327109,7.71401753719427,3.45660649490694
5.89777216953857,0.0626210689772359,1.03813911105626,9.20649479904887,8.60519335989345,4.08437852088769
6.92066661875204,0.0757627881249431,1.18424410450226,11.1657715338142,9.25542825018242,4.73025830061815
8.02311843924841,0.0896783500177176,1.32356429645129,13.0917345655889,9.76725400553473,5.37789056788003
9.21074807848147,0.102271597914472,1.44660582463256,15.0289379049589,10.2309363231565,6.00985981917214
10.4894785921029,0.111855499840297,1.54680931626466,17.0242663570192,10.6951337408498,6.61304708888099
11.8655358002974,0.117709262789218,1.62225594567072,19.1080980635285,11.1788753531513,7.18104708935279
13.3454451300062,0.119976119471772,1.67460135721764,21.295324697774,11.6868661777936,7.71298309870331
14.9360245362685,0.11925897273146,1.70717287589376,23.5920779479115,12.2189515867704,8.21109451234871
16.6443728411499,0.11628344510402,1.72361372899783,26.0007627598763,12.7741497688354,8.67885229362109
18.4778527783382,0.111720022845572,1.72723811816718,28.5226555448784,13.3519106103904,9.11992000341232
20.444067988546,0.106120067925444,1.72082647229403,31.1590459715334,13.9523268578587,9.53769783620256
22.5508331791256,0.0999091702902157,1.70662223022062,33.9116911734386,14.576036555117,9.93517172026201
24.8061366452133,0.0934029374423744,1.68640024875836,36.7829732369779,15.2240704462151,10.3148987531437
27.2180943544155,0.0868284202460229,1.66154954855899,39.7759337706778,15.8977146796762,10.6790447719854
29.7948948282951,0.0803443672146874,1.63314906973541,42.8942607636963,16.5983999653063,11.0294362944102
32.5447341180038,0.0740581509109201,1.602030549398,46.1422619960579,17.3276124885398,11.3676114148763
35.4757402749276,0.0680391311520169,1.5688285334668,49.5248431599216,18.0868194945097,11.6948642539123
38.5958868667759,0.0623288983698394,1.53401940514597,53.0475031100916,18.8774035552593,12.0122817776274
41.9128952913407,0.0569489992710456,1.49795161303564,56.7163573496008,19.7006010967509,12.3207734286646
45.4341258994229,0.0519067100526096,1.46086904338884,60.5382016511597,20.5574419932295,12.6210945130799
49.1664582587645,0.0471993269180818,1.42292911093763,64.5206297826967,21.4486877987458,12.9138643310105
53.1161612734468,0.0428173433528132,1.38421678889688,68.6722224211991,22.374766492117,13.1995799098535
57.2887543160406,0.0387467968908179,1.34475550568578,73.0028285209439,23.3357014667289,13.478626016368
61.6888610265742,0.0349709989237858,1.30451561009388,77.5239657192866,24.3310318456636,13.7512819328585
66.3200579718945,0.0314718081822657,1.26342094365423,82.2493727662916,25.3597199058236,14.0177252931532
71.1847209242978,0.028230569082578,1.22135395499642,87.19575400656,26.4200391961984,14.278033082159
76.2838720863912,0.0252288073657899,1.17815974837553,92.3837622050151,27.5094334140918,14.5321796970889
81.6170321309489,0.0224487549845275,1.13364949093369,97.8392678912034,28.6243305960619,14.7800317347258
87.1820814055089,0.0198737621593136,1.08760374164649,103.594952560062,29.7598886753584,15.0213388934095
92.9751350328896,0.0174886454647111,1.03977656852287,109.69222116078,30.9096354726482,15.2557200535457
98.9904368798192,0.0152800153990108,0.989901893837894,116.183317352197,32.0649467240487,15.4826432400629
105.22027742624,0.0132366235295298,0.937704525750628,123.133262983061,33.2142776309831,15.7013978411012
111.654940411469,0.0113497653320797,0.882920081606792,130.620674168626,34.342025922826,15.9110573447706
118.282682732203,0.00961376535846932,0.825330911956827,138.735344888314,35.4268639202539,16.110431385201
125.089751405321,0.00802654779568211,0.764829781840139,147.568292488645,36.4393641002373,16.2980079049521
132.060440485319,0.00659024542732456,0.701530126239472,157.186297495035,37.3388611584201,16.4718911443648
139.177189660293,0.00531171321679422,0.635951625541404,167.578344195965,38.0700588983269,16.6297505737061
146.420724880119,0.0042027021861867,0.569321941676504,178.559996167757,38.561794164197,16.768809715226
153.77023985389,0.00327938790525171,0.504043318590699,189.636509591638,38.7358364359803,16.8859158082732
161.203615666374,0.00256105614784838,0.444338268277054,199.877408524667,38.5459133376134,16.9777265586684
168.697674193398,0.0020679231151093,0.396833110616338,207.941472647832,38.0760088542061,17.0410278407127
176.228459538524,0.00181754155709856,0.369935233199027,212.412752928243,37.647578463208,17.0732253627808
183.771540461476,0.00181754155709856,0.369935233199027,212.412752928242,37.647578463208,17.0732253627808
191.302325806602,0.00206792311510932,0.396833110616339,207.941472647831,38.076008854206,17.0410278407127
198.796384333626,0.00256105614784841,0.444338268277056,199.877408524666,38.5459133376133,16.9777265586684
206.22976014611,0.00327938790525176,0.504043318590702,189.636509591636,38.7358364359802,16.8859158082732
213.579275119881,0.00420270218618678,0.569321941676509,178.559996167756,38.5617941641969,16.768809715226
220.822810339707,0.00531171321679434,0.635951625541411,167.578344195963,38.0700588983268,16.6297505737061
227.939559514681,0.0065902454273247,0.701530126239479,157.186297495034,37.3388611584201,16.4718911443648
234.910248594679,0.00802654779568228,0.764829781840148,147.568292488644,36.4393641002373,16.2980079049521
241.717317267797,0.00961376535846953,0.825330911956837,138.735344888313,35.426863920254,16.110431385201
248.345059588531,0.0113497653320799,0.882920081606802,130.620674168626,34.3420259228262,15.9110573447706
254.77972257376,0.0132366235295301,0.93770452575064,123.133262983061,33.2142776309832,15.7013978411012
261.009563120181,0.0152800153990111,0.989901893837906,116.183317352197,32.0649467240488,15.4826432400629
267.02486496711,0.0174886454647114,1.03977656852288,109.69222116078,30.9096354726483,15.2557200535458
272.817918594491,0.0198737621593139,1.0876037416465,103.594952560063,29.7598886753585,15.0213388934095
278.382967869051,0.0224487549845278,1.1336494909337,97.8392678912036,28.624330596062,14.7800317347258
283.716127913609,0.0252288073657901,1.17815974837554,92.3837622050153,27.5094334140919,14.5321796970889
288.815279075702,0.0282305690825782,1.22135395499643,87.1957540065603,26.4200391961985,14.278033082159
293.679942028105,0.0314718081822659,1.26342094365423,82.2493727662919,25.3597199058237,14.0177252931532
298.311138973426,0.0349709989237858,1.30451561009388,77.5239657192868,24.3310318456637,13.7512819328585
302.711245683959,0.0387467968908179,1.34475550568578,73.0028285209441,23.335701466729,13.478626016368
306.883838726553,0.0428173433528132,1.38421678889688,68.6722224211993,22.374766492117,13.1995799098535
310.833541741236,0.0471993269180816,1.42292911093763,64.5206297826969,21.4486877987458,12.9138643310105
314.565874100577,0.0519067100526095,1.46086904338884,60.5382016511599,20.5574419932296,12.6210945130799
318.087104708659,0.0569489992710455,1.49795161303563,56.716357349601,19.700601096751,12.3207734286646
321.404113133224,0.0623288983698392,1.53401940514597,53.0475031100917,18.8774035552593,12.0122817776274
324.524259725072,0.0680391311520167,1.5688285334668,49.5248431599217,18.0868194945097,11.6948642539122
327.455265881996,0.0740581509109199,1.602030549398,46.142261996058,17.3276124885398,11.3676114148763
330.205105171705,0.0803443672146871,1.63314906973541,42.8942607636963,16.5983999653063,11.0294362944102
332.781905645584,0.0868284202460226,1.66154954855899,39.7759337706778,15.8977146796762,10.6790447719854
335.193863354787,0.0934029374423741,1.68640024875836,36.7829732369779,15.2240704462151,10.3148987531437
337.449166820874,0.0999091702902156,1.70662223022062,33.9116911734386,14.5760365551171,9.93517172026201
339.555932011454,0.106120067925444,1.72082647229403,31.1590459715335,13.9523268578587,9.53769783620255
341.522147221662,0.111720022845572,1.72723811816718,28.5226555448784,13.3519106103904,9.11992000341231
343.35562715885,0.11628344510402,1.72361372899783,26.0007627598764,12.7741497688354,8.67885229362108
345.063975463731,0.11925897273146,1.70717287589376,23.5920779479115,12.2189515867704,8.2110945123487
346.654554869994,0.119976119471772,1.67460135721764,21.295324697774,11.6868661777936,7.71298309870329
348.134464199703,0.117709262789218,1.62225594567072,19.1080980635286,11.1788753531514,7.18104708935277
349.510521407897,0.111855499840296,1.54680931626466,17.0242663570192,10.6951337408498,6.61304708888097
350.789251921519,0.102271597914472,1.44660582463256,15.0289379049589,10.2309363231565,6.00985981917212
351.976881560752,0.089678350017717,1.32356429645129,13.0917345655889,9.76725400553475,5.37789056788001
353.079333381248,0.0757627881249427,1.18424410450226,11.1657715338142,9.25542825018243,4.73025830061814
354.102227830461,0.0626210689772357,1.03813911105626,9.20649479904887,8.60519335989346,4.08437852088767
355.050885667977,0.0517885147469753,0.893865214653095,7.22517043271089,7.71401753719427,3.45660649490693
355.930333156336,0.0435863616876022,0.756549691472203,5.33234930540071,6.56590058799849,2.85814072433657
356.745309083999,0.0379006920975871,0.627695262635808,3.63086220413412,5.19781197822137,2.29452013104632
357.500273234685,0.0346989494512148,0.506450782381764,2.19432461226365,3.69596773146861,1.76730660218223
358.19941596667,0.0340978792429994,0.390813901484514,1.08716000004145,2.23966283218194,1.27592626294051
358.846668611292,0.0365998253332286,0.278066008351128,0.354287648329126,1.05629882514946,0.818853349902623
359.445714441625,0.0439446786611391,0.163738711429725,0.00471875924856058,0.305046781971072,0.394204859623135
360,0.122907180498314,0,0,0,0
