y,u,mut,k,eps,v2,nuSA,T,alphat,epst,kt,om,fv2
0.0462888334,0.4009381897,0.0000510187,0.0081182968,0.0043377783,0.0001935978,0.0004403299,0.8435931513,0.0000321524,0.0010000000,0.1000000000,1.0000000000,0.0597761769
0.0492779039,0.4227346991,0.0000620737,0.0087922534,0.0044852412,0.0002240039,0.0004400642,0.8344042296,0.0000396579,0.0010000000,0.1000000000,1.0000000000,0.0631039060
0.0524112352,0.4446974558,0.0000745873,0.0094655190,0.0046320682,0.0002571632,0.0004397857,0.8250234674,0.0000483715,0.0010000000,0.1000000000,1.0000000000,0.0665039895
0.0556952793,0.4667520044,0.0000886413,0.0101283937,0.0047720940,0.0002930431,0.0004394938,0.8154800049,0.0000584249,0.0010000000,0.1000000000,1.0000000000,0.0699696630
0.0591367250,0.4888261554,0.0001043216,0.0107713835,0.0048997117,0.0003315753,0.0004391878,0.8058057735,0.0000699629,0.0010000000,0.1000000000,1.0000000000,0.0734932981
0.0627425009,0.5108510924,0.0001217180,0.0113855606,0.0050100570,0.0003726556,0.0004388673,0.7960349772,0.0000831433,0.0010000000,0.1000000000,1.0000000000,0.0770664964
0.0665197783,0.5327623023,0.0001409234,0.0119628732,0.0050991543,0.0004161468,0.0004385316,0.7862034176,0.0000981354,0.0010000000,0.1000000000,1.0000000000,0.0806801901
0.0704759731,0.5545003242,0.0001620326,0.0124963855,0.0051640097,0.0004618805,0.0004381799,0.7763476767,0.0001151176,0.0010000000,0.1000000000,1.0000000000,0.0843247495
0.0746187471,0.5760113127,0.0001851416,0.0129804420,0.0052026489,0.0005096613,0.0004378117,0.7665041916,0.0001342742,0.0010000000,0.1000000000,1.0000000000,0.0879900929
0.0789560085,0.5972474112,0.0002103459,0.0134107506,0.0052140982,0.0005592702,0.0004374261,0.7567082774,0.0001557919,0.0010000000,0.1000000000,1.0000000000,0.0916657969
0.0834959110,0.6181669420,0.0002377393,0.0137843924,0.0051983166,0.0006104693,0.0004370226,0.7469931699,0.0001798551,0.0010000000,0.1000000000,1.0000000000,0.0953412044
0.0882468523,0.6387344219,0.0002674123,0.0140997658,0.0051560875,0.0006630060,0.0004366003,0.7373891621,0.0002066423,0.0010000000,0.1000000000,1.0000000000,0.0990055284
0.0932174715,0.6589204237,0.0002994514,0.0143564803,0.0050888838,0.0007166171,0.0004361584,0.7279229061,0.0002363211,0.0010000000,0.1000000000,1.0000000000,0.1026479497
0.0984166444,0.6787013071,0.0003339369,0.0145552126,0.0049987178,0.0007710329,0.0004356963,0.7186169256,0.0002690458,0.0010000000,0.1000000000,1.0000000000,0.1062577072
0.1038534780,0.6980588453,0.0003709422,0.0146975420,0.0048879892,0.0008259805,0.0004352130,0.7094893639,0.0003049537,0.0010000000,0.1000000000,1.0000000000,0.1098241801
0.1095373034,0.7169797752,0.0004105324,0.0147857768,0.0047593404,0.0008811870,0.0004347078,0.7005539584,0.0003441635,0.0010000000,0.1000000000,1.0000000000,0.1133369622
0.1154776665,0.7354552974,0.0004527627,0.0148227828,0.0046155254,0.0009363820,0.0004341798,0.6918202150,0.0003867736,0.0010000000,0.1000000000,1.0000000000,0.1167859271
