y,u,mut,k,eps,v2,nuSA,T,alphat,epst,kt,om,fv2
1.3311926562,1.1046765644,0.0047146009,0.1000000000,0.0010000000,0.0666666667,0.0062516904,0.3851069157,0.0053136020,0.0010000000,0.1000000000,1.0000000000,0.0000000000
1.3537501239,1.0989162815,0.0047150240,0.1000000000,0.0010000000,0.0666666667,0.0062391354,0.3811751864,0.0053141016,0.0010000000,0.1000000000,1.0000000000,0.0000000000
1.3759154897,1.0929524844,0.0047087935,0.1000000000,0.0010000000,0.0666666667,0.0062192024,0.3773094402,0.0053067458,0.0010000000,0.1000000000,1.0000000000,0.0000000000
1.3976716508,1.0867974889,0.0046959436,0.1000000000,0.0010000000,0.0666666667,0.0061919749,0.3735074002,0.0052915757,0.0010000000,0.1000000000,1.0000000000,0.0000000000
1.4190031431,1.0804630883,0.0046765403,0.1000000000,0.0010000000,0.0666666667,0.0061575769,0.3697667984,0.0052686697,0.0010000000,0.1000000000,1.0000000000,0.0000000000
1.4398961503,1.0739605388,0.0046506780,0.1000000000,0.0010000000,0.0666666667,0.0061161690,0.3660853758,0.0052381407,0.0010000000,0.1000000000,1.0000000000,0.0000000000
1.4603385019,1.0673005444,0.0046184770,0.1000000000,0.0010000000,0.0666666667,0.0060679447,0.3624608818,0.0052001323,0.0010000000,0.1000000000,1.0000000000,0.0000000000
1.4803196588,1.0604932438,0.0045800811,0.1000000000,0.0010000000,0.0666666667,0.0060131273,0.3588910718,0.0051548160,0.0010000000,0.1000000000,1.0000000000,0.0000000000
1.4998306895,1.0535481962,0.0045356540,0.1000000000,0.0010000000,0.0666666667,0.0059519657,0.3553737037,0.0051023877,0.0010000000,0.1000000000,1.0000000000,0.0000000000
1.5188642358,1.0464743681,0.0044853776,0.1000000000,0.0010000000,0.0666666667,0.0058847321,0.3519065333,0.0050430645,0.0010000000,0.1000000000,1.0000000000,0.0000000000
1.5374144706,1.0392801203,0.0044294489,0.1000000000,0.0010000000,0.0666666667,0.0058117180,0.3484873095,0.0049770820,0.0010000000,0.1000000000,1.0000000000,0.0000000000
1.5554770473,1.0319731936,0.0043680777,0.1000000000,0.0010000000,0.0666666667,0.0057332313,0.3451137677,0.0049046912,0.0010000000,0.1000000000,1.0000000000,0.0000000000
1.5730490431,1.0245606951,0.0043014842,0.1000000000,0.0010000000,0.0666666667,0.0056495933,0.3417836231,0.0048261553,0.0010000000,0.1000000000,1.0000000000,0.0000000000
1.5901288961,1.0170490826,0.0042298967,0.1000000000,0.0010000000,0.0666666667,0.0055611360,0.3384945629,0.0047417478,0.0010000000,0.1000000000,1.0000000000,0.0000000000
1.6067163378,1.0094441485,0.0041535493,0.1000000000,0.0010000000,0.0666666667,0.0054681991,0.3352442370,0.0046517489,0.0010000000,0.1000000000,1.0000000000,0.0000000000
1.6228123217,1.0017510014,0.0040726804,0.1000000000,0.0010000000,0.0666666667,0.0053711277,0.3320302486,0.0045564442,0.0010000000,0.1000000000,1.0000000000,0.0000000000
1.6384189492,0.9939740462,0.0039875302,0.1000000000,0.0010000000,0.0666666667,0.0052702697,0.3288501427,0.0044561217,0.0010000000,0.1000000000,1.0000000000,0.0000000000
