y,u,mut,k,eps,v2,nuSA,T,alphat,epst,kt,om,fv2
0.0462888334,0.4557472947,0.0000464262,0.1000000000,0.0010000000,0.0666666667,0.0011844306,0.8342981468,0.0000290887,0.0010000000,0.1000000000,1.0000000000,0.0000000000
0.0492779039,0.4804649657,0.0000585041,0.1000000000,0.0010000000,0.0666666667,0.0012534918,0.8245787189,0.0000372144,0.0010000000,0.1000000000,1.0000000000,0.0000000000
0.0524112352,0.5052432393,0.0000732046,0.1000000000,0.0010000000,0.0666666667,0.0013247501,0.8146925407,0.0000473975,0.0010000000,0.1000000000,1.0000000000,0.0000000000
0.0556952793,0.5299119993,0.0000909384,0.1000000000,0.0010000000,0.0666666667,0.0013981760,0.8047014642,0.0000600943,0.0010000000,0.1000000000,1.0000000000,0.0000000000
0.0591367250,0.5542987647,0.0001121316,0.1000000000,0.0010000000,0.0666666667,0.0014737313,0.7946772822,0.0000758318,0.0010000000,0.1000000000,1.0000000000,0.0000000000
0.0627425009,0.5782379959,0.0001372112,0.1000000000,0.0010000000,0.0666666667,0.0015513703,0.7846991722,0.0000952026,0.0010000000,0.1000000000,1.0000000000,0.0000000000
0.0665197783,0.6015802519,0.0001665878,0.1000000000,0.0010000000,0.0666666667,0.0016310414,0.7748496296,0.0001188482,0.0010000000,0.1000000000,1.0000000000,0.0000000000
0.0704759731,0.6241998847,0.0002006374,0.1000000000,0.0010000000,0.0666666667,0.0017126887,0.7652091766,0.0001474297,0.0010000000,0.1000000000,1.0000000000,0.0000000000
0.0746187471,0.6460002224,0.0002396829,0.1000000000,0.0010000000,0.0666666667,0.0017962531,0.7558505759,0.0001815876,0.0010000000,0.1000000000,1.0000000000,0.0000000000
0.0789560085,0.6669157193,0.0002839787,0.1000000000,0.0010000000,0.0666666667,0.0018816739,0.7468336054,0.0002218956,0.0010000000,0.1000000000,1.0000000000,0.0000000000
0.0834959110,0.6869111716,0.0003336983,0.1000000000,0.0010000000,0.0666666667,0.0019688895,0.7382014493,0.0002688168,0.0010000000,0.1000000000,1.0000000000,0.0000000000
0.0882468523,0.7059786010,0.0003889277,0.1000000000,0.0010000000,0.0666666667,0.0020578376,0.7299793476,0.0003226713,0.0010000000,0.1000000000,1.0000000000,0.0000000000
0.0932174715,0.7241326714,0.0004496619,0.1000000000,0.0010000000,0.0666666667,0.0021484549,0.7221754960,0.0003836199,0.0010000000,0.1000000000,1.0000000000,0.0000000000
0.0984166444,0.7414055098,0.0005158069,0.1000000000,0.0010000000,0.0666666667,0.0022406771,0.7147836224,0.0004516620,0.0010000000,0.1000000000,1.0000000000,0.0000000000
0.1038534780,0.7578416341,0.0005871843,0.1000000000,0.0010000000,0.0666666667,0.0023344374,0.7077864146,0.0005266470,0.0010000000,0.1000000000,1.0000000000,0.0000000000
0.1095373034,0.7734934418,0.0006635402,0.1000000000,0.0010000000,0.0666666667,0.0024296657,0.7011590442,0.0006082929,0.0010000000,0.1000000000,1.0000000000,0.0000000000
0.1154776665,0.7884174854,0.0007445551,0.1000000000,0.0010000000,0.0666666667,0.0025262873,0.6948722784,0.0006962089,0.0010000000,0.1000000000,1.0000000000,0.0000000000
0.1216843175,0.8026715815,0.0008298560,0.1000000000,0.0010000000,0.0666666667,0.0026242219,0.6888949451,0.0007899199,0.0010000000,0.1000000000,1.0000000000,0.0000000000
0.1281671974,0.8163126909,0.0009190292,0.1000000000,0.0010000000,0.0666666667,0.0027233819,0.6831957189,0.0008888896,0.0010000000,0.1000000000,1.0000000000,0.0000000000
0.1349364233,0.8293954549,0.0010116330,0.1000000000,0.0010000000,0.0666666667,0.0028236716,0.6777443091,0.0009925422,0.0010000000,0.1000000000,1.0000000000,0.0000000000
0.1420022705,0.8419712548,0.0011072103,0.1000000000,0.0010000000,0.0666666667,0.0029249862,0.6725121772,0.0011002813,0.0010000000,0.1000000000,1.0000000000,0.0000000000
0.1493751529,0.8540876689,0.0012052988,0.1000000000,0.0010000000,0.0666666667,0.0030272108,0.6674729103,0.0012115057,0.0010000000,0.1000000000,1.0000000000,0.0000000000
0.1570655998,0.8657882201,0.0013054414,0.1000000000,0.0010000000,0.0666666667,0.0031302193,0.6626023594,0.0013256228,0.0010000000,0.1000000000,1.0000000000,0.0000000000
0.1650842307,0.8771123265,0.0014071930,0.1000000000,0.0010000000,0.0666666667,0.0032338747,0.6578786255,0.0014420583,0.0010000000,0.1000000000,1.0000000000,0.0000000000
0.1734417267,0.8880953864,0.0015101264,0.1000000000,0.0010000000,0.0666666667,0.0033380275,0.6532819554,0.0015602637,0.0010000000,0.1000000000,1.0000000000,0.0000000000
0.1821487988,0.8987689499,0.0016138366,0.1000000000,0.0010000000,0.0666666667,0.0034425165,0.6487945868,0.0016797203,0.0010000000,0.1000000000,1.0000000000,0.0000000000
0.1912161531,0.9091609384,0.0017179422,0.1000000000,0.0010000000,0.0666666667,0.0035471679,0.6444005718,0.0017999425,0.0010000000,0.1000000000,1.0000000000,0.0000000000
0.2006544527,0.9192958881,0.0018220867,0.1000000000,0.0010000000,0.0666666667,0.0036517955,0.6400855952,0.0019204775,0.0010000000,0.1000000000,1.0000000000,0.0000000000
0.2104742760,0.9291951997,0.0019259380,0.1000000000,0.0010000000,0.0666666667,0.0037562009,0.6358367984,0.0020409052,0.0010000000,0.1000000000,1.0000000000,0.0000000000
0.2206860715,0.9388773830,0.0020291868,0.1000000000,0.0010000000,0.0666666667,0.0038601740,0.6316426143,0.0021608359,0.0010000000,0.1000000000,1.0000000000,0.0000000000
0.2313001094,0.9483582891,0.0021315453,0.1000000000,0.0010000000,0.0666666667,0.0039634929,0.6274926158,0.0022799075,0.0010000000,0.1000000000,1.0000000000,0.0000000000
0.2423264290,0.9576513266,0.0022327442,0.1000000000,0.0010000000,0.0666666667,0.0040659250,0.6233773799,0.0023977833,0.0010000000,0.1000000000,1.0000000000,0.0000000000
0.2537747838,0.9667676595,0.0023325310,0.1000000000,0.0010000000,0.0666666667,0.0041672275,0.6192883659,0.0025141479,0.0010000000,0.1000000000,1.0000000000,0.0000000000
0.2656545813,0.9757163863,0.0024306672,0.1000000000,0.0010000000,0.0666666667,0.0042671482,0.6152178076,0.0026287048,0.0010000000,0.1000000000,1.0000000000,0.0000000000
0.2779748214,0.9845047005,0.0025269263,0.1000000000,0.0010000000,0.0666666667,0.0043654269,0.6111586191,0.0027411732,0.0010000000,0.1000000000,1.0000000000,0.0000000000
0.2907440307,0.9931380335,0.0026210917,0.1000000000,0.0010000000,0.0666666667,0.0044617964,0.6071043114,0.0028512854,0.0010000000,0.1000000000,1.0000000000,0.0000000000
0.3039701934,1.0016201810,0.0027129552,0.1000000000,0.0010000000,0.0666666667,0.0045559840,0.6030489199,0.0029587850,0.0010000000,0.1000000000,1.0000000000,0.0000000000
0.3176606809,1.0099534146,0.0028023155,0.1000000000,0.0010000000,0.0666666667,0.0046477130,0.5989869416,0.0030634250,0.0010000000,0.1000000000,1.0000000000,0.0000000000
0.3318221777,1.0181385791,0.0028889775,0.1000000000,0.0010000000,0.0666666667,0.0047367046,0.5949132803,0.0031649665,0.0010000000,0.1000000000,1.0000000000,0.0000000000
0.3464606064,1.0261751783,0.0029727521,0.1000000000,0.0010000000,0.0666666667,0.0048226801,0.5908231993,0.0032631782,0.0010000000,0.1000000000,1.0000000000,0.0000000000
0.3615810508,1.0340614499,0.0030534554,0.1000000000,0.0010000000,0.0666666667,0.0049053627,0.5867122811,0.0033578365,0.0010000000,0.1000000000,1.0000000000,0.0000000000
0.3771876783,1.0417944307,0.0031309100,0.1000000000,0.0010000000,0.0666666667,0.0049844806,0.5825763929,0.0034487251,0.0010000000,0.1000000000,1.0000000000,0.0000000000
0.3932836622,1.0493700136,0.0032049450,0.1000000000,0.0010000000,0.0666666667,0.0050597688,0.5784116575,0.0035356367,0.0010000000,0.1000000000,1.0000000000,0.0000000000
0.4098711039,1.0567829982,0.0032753975,0.1000000000,0.0010000000,0.0666666667,0.0051309728,0.5742144298,0.0036183736,0.0010000000,0.1000000000,1.0000000000,0.0000000000
0.4269509569,1.0640271353,0.0033421141,0.1000000000,0.0010000000,0.0666666667,0.0051978517,0.5699812774,0.0036967498,0.0010000000,0.1000000000,1.0000000000,0.0000000000
0.4445229527,1.0710951669,0.0034049529,0.1000000000,0.0010000000,0.0666666667,0.0052601809,0.5657089666,0.0037705932,0.0010000000,0.1000000000,1.0000000000,0.0000000000
0.4625855294,1.0779788622,0.0034637856,0.1000000000,0.0010000000,0.0666666667,0.0053177567,0.5613944519,0.0038397482,0.0010000000,0.1000000000,1.0000000000,0.0000000000
0.4811357642,1.0846690519,0.0035185002,0.1000000000,0.0010000000,0.0666666667,0.0053703997,0.5570348713,0.0039040788,0.0010000000,0.1000000000,1.0000000000,0.0000000000
0.5001693105,1.0911556609,0.0035690043,0.1000000000,0.0010000000,0.0666666667,0.0054179592,0.5526275456,0.0039634724,0.0010000000,0.1000000000,1.0000000000,0.0000000000
0.5196803412,1.0974277405,0.0036152280,0.1000000000,0.0010000000,0.0666666667,0.0054603176,0.5481699827,0.0040178432,0.0010000000,0.1000000000,1.0000000000,0.0000000000
0.5396614981,1.1034735023,0.0036571283,0.1000000000,0.0010000000,0.0666666667,0.0054973955,0.5436598878,0.0040671375,0.0010000000,0.1000000000,1.0000000000,0.0000000000
0.5601038497,1.1092803544,0.0036946928,0.1000000000,0.0010000000,0.0666666667,0.0055291567,0.5390951798,0.0041113379,0.0010000000,0.1000000000,1.0000000000,0.0000000000
0.5809968569,1.1148349422,0.0037279449,0.1000000000,0.0010000000,0.0666666667,0.0055556135,0.5344740142,0.0041504696,0.0010000000,0.1000000000,1.0000000000,0.0000000000
0.6023283492,1.1201231956,0.0037569485,0.1000000000,0.0010000000,0.0666666667,0.0055768332,0.5297948144,0.0041846057,0.0010000000,0.1000000000,1.0000000000,0.0000000000
0.6240845103,1.1251303843,0.0037818142,0.1000000000,0.0010000000,0.0666666667,0.0055929439,0.5250563121,0.0042138746,0.0010000000,0.1000000000,1.0000000000,0.0000000000
0.6462498761,1.1298411858,0.0038027056,0.1000000000,0.0010000000,0.0666666667,0.0056041423,0.5202575982,0.0042384676,0.0010000000,0.1000000000,1.0000000000,0.0000000000
0.6688073438,1.1342397677,0.0038198466,0.1000000000,0.0010000000,0.0666666667,0.0056107006,0.5153981862,0.0042586471,0.0010000000,0.1000000000,1.0000000000,0.0000000000
0.6917381935,1.1383098896,0.0038335300,0.1000000000,0.0010000000,0.0666666667,0.0056129762,0.5104780902,0.0042747570,0.0010000000,0.1000000000,1.0000000000,0.0000000000
0.7150221237,1.1420350300,0.0038441276,0.1000000000,0.0010000000,0.0666666667,0.0056114218,0.5054979207,0.0042872345,0.0010000000,0.1000000000,1.0000000000,0.0000000000
0.7386372983,1.1453985431,0.0038521031,0.1000000000,0.0010000000,0.0666666667,0.0056065987,0.5004590006,0.0042966251,0.0010000000,0.1000000000,1.0000000000,0.0000000000
0.7625604087,1.1483838533,0.0038580292,0.1000000000,0.0010000000,0.0666666667,0.0055991956,0.4953635078,0.0043036029,0.0010000000,0.1000000000,1.0000000000,0.0000000000
0.7867667475,1.1509746957,0.0038626141,0.1000000000,0.0010000000,0.0666666667,0.0055900565,0.4902146528,0.0043090014,0.0010000000,0.1000000000,1.0000000000,0.0000000000
0.8112302966,1.1531554103,0.0038667485,0.1000000000,0.0010000000,0.0666666667,0.0055802336,0.4850169108,0.0043138697,0.0010000000,0.1000000000,1.0000000000,0.0000000000
0.8359238264,1.1549113002,0.0038716140,0.1000000000,0.0010000000,0.0666666667,0.0055711092,0.4797763608,0.0043195989,0.0010000000,0.1000000000,1.0000000000,0.0000000000
0.8608190076,1.1562290481,0.0038790428,0.1000000000,0.0010000000,0.0666666667,0.0055648076,0.4745013390,0.0043283466,0.0010000000,0.1000000000,1.0000000000,0.0000000000
0.8858865338,1.1570970766,0.0038937907,0.1000000000,0.0010000000,0.0666666667,0.0055668051,0.4692048638,0.0043457136,0.0010000000,0.1000000000,1.0000000000,0.0000000000
0.9110962541,1.1575068639,0.0039234113,0.1000000000,0.0010000000,0.0666666667,0.0055857798,0.4639084237,0.0043805974,0.0010000000,0.1000000000,1.0000000000,0.0000000000
