y,u,mut,k,eps,v2,nuSA,T,alphat,epst,kt,om,fv2
0.0462888334,7.0013581988,0.0007992396,1.5257587979,29.8695020237,0.0666666667,0.0091735392,0.8497715231,0.0008880440,0.0010000000,0.1000000000,1.0000000000,0.0000000000
0.0492779039,7.3914296314,0.0009873281,1.7144616741,30.9756877480,0.0666666667,0.0091680039,0.8412557081,0.0010970312,0.0010000000,0.1000000000,1.0000000000,0.0000000000
0.0524112352,7.7861784058,0.0012123393,1.9131299436,31.9967076210,0.0666666667,0.0091622014,0.8326315889,0.0013470437,0.0010000000,0.1000000000,1.0000000000,0.0000000000
0.0556952793,8.1836271338,0.0014790265,2.1191164161,32.8984440605,0.0666666667,0.0091561199,0.8239433638,0.0016433628,0.0010000000,0.1000000000,1.0000000000,0.0000000000
0.0591367250,8.5817003743,0.0017921100,2.3292287155,33.6469038081,0.0666666667,0.0091497468,0.8152370902,0.0019912334,0.0010000000,0.1000000000,1.0000000000,0.0000000000
0.0627425009,8.9783127224,0.0021560921,2.5398888352,34.2126131654,0.0666666667,0.0091430694,0.8065585919,0.0023956579,0.0010000000,0.1000000000,1.0000000000,0.0000000000
0.0665197783,9.3714619503,0.0025750867,2.7473451101,34.5736847146,0.0666666667,0.0091360745,0.7979513032,0.0028612074,0.0010000000,0.1000000000,1.0000000000,0.0000000000
0.0704759731,9.7593151212,0.0030526868,2.9479085163,34.7175905931,0.0666666667,0.0091287482,0.7894543355,0.0033918742,0.0010000000,0.1000000000,1.0000000000,0.0000000000
0.0746187471,10.1402770794,0.0035918744,3.1381788879,34.6417710068,0.0666666667,0.0091210764,0.7811010075,0.0039909715,0.0010000000,0.1000000000,1.0000000000,0.0000000000
0.0789560085,10.5130346772,0.0041949759,3.3152298286,34.3531276432,0.0666666667,0.0091130444,0.7729179698,0.0046610843,0.0010000000,0.1000000000,1.0000000000,0.0000000000
0.0834959110,10.8765749228,0.0048636601,3.4767317658,33.8665984101,0.0666666667,0.0091046372,0.7649249400,0.0054040667,0.0010000000,0.1000000000,1.0000000000,0.0000000000
