yplus,eps_scaled,kt_scaled,tau_u,tau_t,Tplus
0,0.0711065414491633,0,0,0,0
1.41252262612116,0.0355706773759278,0.317379862734065,0.185773290060495,1.41591311580226,1.00659561342969
2.9247396846318,0.0359652353189982,0.564824035785493,2.3879142622181,4.43520233596928,2.07361604997502
4.54275213577896,0.0470344227667684,0.818435968840074,5.84241641403301,7.12071495394705,3.19502493792434
6.27289130591897,0.0661160281158317,1.08197306436663,9.65243469701539,8.85311584328662,4.34250349744266
8.12170464859785,0.0899828301178234,1.32780537768332,13.0918325730109,9.79668631613486,5.45152185801834
10.0959369543657,0.109051065829019,1.51640156618303,16.3148927267382,10.5431051610613,6.45367743463957
12.2025064635247,0.118548659318624,1.63578579635997,19.5337018288709,11.2856407948962,7.32546289190714
14.4484753270555,0.119871630338125,1.69952970185382,22.824004268774,12.047893231017,8.08076519472058
16.8410138650089,0.116012692911227,1.72515009961317,26.2030806269725,12.8267984800278,8.74299884532197
19.387358092033,0.109353953069104,1.72594255300098,29.6741067044231,13.6203475624566,9.33272346461704
22.0947600200268,0.101416351345768,1.71075958841163,33.2385769737344,14.4291247442144,9.86561585357607
24.9704303119639,0.0930928975582026,1.68531272606118,36.8990455214744,15.2550788466328,10.3532700544653
28.0214729525161,0.0848827985527377,1.65328086913542,40.659463140468,16.1006568990003,10.8042889264989
31.2548117238438,0.077050421473389,1.61704574930303,44.5249882179599,16.9683494608923,11.2251427932379
34.6771084319861,0.069722903757695,1.5781528522938,48.501748116797,17.8604611323879,11.6207738152181
38.2946730230733,0.0629482634020007,1.53759863060184,52.5966714471047,18.7789894514668,11.9950109181911
42.1133659603427,0.0567297257277839,1.4960115096967,56.8174196354095,19.7255531243376,12.3508553163243
46.1384935023224,0.0510459950879738,1.45376789036465,61.1724247369516,20.7013407752452,12.6906792543383
50.3746968271891,0.0458632312498183,1.41106780629533,65.6710391080237,21.7070657660105,13.0163662271312
54.8258362833465,0.0411421054954491,1.36798506933706,70.3238074808918,22.7429190532813,13.3294111060941
59.4948724039886,0.0368419202875804,1.32450095598511,75.1428792034028,23.8085144410463,13.6309922031383
