ReTau,MaCent,utau,expMu
548.12395840750082,2.6,5.2107279677072182E-002,0.75

ust,yst
-0.0016168497274402199,0.0
0.6481308274714059,0.6471870706799361
1.3495836201466576,1.3502489090740242
2.1070105828826646,2.1139281434681725
2.919790381760458,2.943355231578206
3.7839131870509606,3.8440775030551113
4.690294349201769,4.8220898845005165
5.624775813925946,5.88386730856375
6.569496312217482,7.03639878543583
7.504883415568559,8.287223086368593
8.411854137699795,9.644465953866257
9.27402653971383,11.116878710965077
10.07995516732821,12.713878091494168
10.821782632926812,14.445587053280345
11.49685112073789,16.3228762657381
12.105622069706303,18.357405880951514
12.651435388172377,20.561667101984668
13.139191107318789,22.94902295255775
13.574538494319352,25.53374752733842
13.963358593934531,28.331062861025604
14.31154565289776,31.35717239659254
14.624913304160545,34.62928985836822
14.909049455151637,38.16566214458359
15.169183567913775,41.98558464790072
15.410352622352967,46.10940719368764
15.637079423319095,50.55852855814107
15.853185029409966,55.35537729721109
16.06193000063223,60.52337639005518
16.265912271197823,66.08688898720885
16.467792203922528,72.07114236622913
16.669343596038566,78.5021270516373
16.870956057017565,85.40646797007372
17.07306414458434,92.8112645073954
17.27625759152749,100.74389643667958
17.48110114230803,109.23179292195921
17.68798322677907,118.30216220083148
17.89639190017629,127.98168013896466
18.105930390401337,138.2961366584046
18.316358668010672,149.27004009274555
18.52639726284743,160.92618083155395
18.735382900156747,173.28515718884083
18.94517041372727,186.36486825551953
19.1556244444301,200.1799805440604
19.3652749336012,214.74137745195242
19.573768785389785,230.0556028798241
19.779256302410296,246.12431263289508
19.98210389455619,262.9437493763579
20.18215582351031,280.50425874826834
20.377670386017897,298.7898655830571
20.56988558152283,317.7779298849145
20.75913537465068,337.43890204220486
20.9416106196492,357.7361956475822
21.112343559263536,378.626194085039
21.271156237884846,400.05840373043907
21.41748894225299,421.97576223162537
21.54935007802555,444.31510502317
21.66339543450982,467.00778721606423
21.754842399549158,489.9804515945024
21.817765628693138,513.1559270258584
21.84796472100162,536.4542355582762
21.847964707816192,559.7936812567254
21.817765610278762,583.0919897891432
21.754842481568627,606.2674652204993
21.66339545513884,629.2401295989374
21.549350134502387,651.9328117918316
21.417488936180135,674.2721545833763
21.271156139304406,696.1895130845626
21.112343603163612,717.6217227299626
20.941610438527764,738.5117211674194
20.75913534722473,758.8090147727967
20.569885671105688,778.4699869300871
20.377670385323977,797.4580512319445
20.182155833793075,815.7436580667334
19.982104020890553,833.3041674386437
19.77925606353238,850.1236041821065
19.573768752528665,866.1923139351775
19.365274792669908,881.5065393630492
19.1556247756988,896.0679362709412
18.945170029814495,909.8830485594821
18.73538279439067,922.9627596261608
18.52639723005927,935.3217359834476
18.316358175719234,946.9778767222562
18.10593041364178,957.9517801565971
17.89639189177113,968.2662366760369
17.687983562815337,977.9457546141703
17.48110161502995,987.0161238930424
17.276257046197387,995.5040203783221
17.07306486843532,1003.4366523076063
16.870956539092884,1010.8414488449279
16.66934411494393,1017.7457897633644
16.467792782238234,1024.1767744487724
16.265912589599775,1030.1610278277929
16.061930229395372,1035.7245404249466
15.853184439828564,1040.8925395177905
15.637078919089573,1045.6893882568606
15.410352944837836,1050.138509621314
15.169183186349269,1054.262332167101
14.909049146065929,1058.082254670418
14.624913018827762,1061.6186269566335
14.31154705447796,1064.890744418409
13.963357062364683,1067.916853953976
13.574537758449388,1070.7141692876633
13.139191539673579,1073.298893862444
12.651436655566169,1075.686249713017
12.105621464462196,1077.89051093405
11.496855250477092,1079.9250405492635
10.821788446521282,1081.8023297617215
10.079947346530698,1083.5340387235074
9.274021767364774,1085.1310381040366
8.411839508617406,1086.6034508611353
7.504866405645437,1087.960693728633
6.569483565488592,1089.2115180295657
5.6247732409374835,1090.3640495064378
4.690309792433243,1091.4258269305012
3.7839045338625277,1092.4038393119465
2.9197822232658823,1093.3045615834235
2.1070255017954493,1094.1339886715334
1.3496087424674987,1094.8976679059276
0.6481339330414118,1095.6007297443216
-0.0016571703786966345,1096.2479168150016
