ReTau,MaBulk,MaCent,uTau,expMu
556.5097887899144,0.3,0.344,0.05394590903169517,0.75
y,ypl,yst,rho,mu,u,u_fav,P,T,T_fav,ust
0.0,0.0,0.0,1.0002729,0.0017969135856072168,0.0,0.0,7.938666100000001,1.0,1.0,0.0
0.000909091,0.5059180404008121,0.50591783240996,1.0002714,0.0017969153090891849,0.5059180480945246,0.5059359363833182,7.9386647,1.0000004,1.0000004,0.5059175710430056
0.0027349484,1.5220255564353145,1.52202230515624,1.0002699,0.0017969170325711527,1.5190860154354304,1.5191305785921765,7.9386633,1.0000016,1.0000017,1.5190819382431333
0.0045762069,2.546703935377949,2.546690212294851,1.0002667,0.001796920053297612,2.5303179138162477,2.5303807545406114,7.9386562,1.0000039,1.000004,2.5303045625729665
0.0064329679,3.5800096073212995,3.57997301151839,1.0002616,0.0017969241303517293,3.5262136353701274,3.5262846324126973,7.9386399,1.0000069,1.000007,3.526181596303166
0.0083053324,4.621998779754033,4.621923626545976,1.0002546,0.0017969287263036432,4.4902405826117615,4.490313618733883,7.9386115,1.0000103,1.0000104,4.490178708097094
0.010193402,5.672727994070692,5.6725972250579195,1.0002461,0.001796933266659365,5.406750302949426,5.406818148687234,7.9385707,1.0000137,1.0000138,5.406647921007847
0.012097278,6.732253624712878,6.73205004216288,1.0002363,0.0017969373622455465,6.263826230112592,6.263888143982615,7.9385172,1.0000167,1.0000169,6.263674554799578
0.014017061,7.800631656565347,7.800338997293511,1.0002255,0.0017969407906774178,7.054371440407288,7.05442556870084,7.9384519,1.0000193,1.0000194,7.054164219003699
0.015952855,8.877919966646129,8.877522759860948,1.000214,0.0017969433851664014,7.775849504242169,7.775899554376617,7.9383757,1.0000212,1.0000214,7.775583018710736
0.017904759,9.96417364942432,9.96365747688864,1.0002019,0.0017969451827766257,8.429314069632815,8.429360412349897,7.9382902,1.0000225,1.0000227,8.428986509205831
0.019872877,11.059450581917948,11.05880215398932,1.0001893,0.0017969462020401552,9.018278656017532,9.018326667072431,7.9381963,1.0000233,1.0000234,9.017889679661462
0.021857309,12.163806415105894,12.163013021238408,1.0001764,0.0017969464800211177,9.547688216679868,9.547738452185186,7.938096,1.0000235,1.0000237,9.547238762397233
0.023858158,13.277298469496408,13.27634846651526,1.0001634,0.0017969461093798344,10.023140766472485,10.023197489958193,7.9379903,1.0000232,1.0000234,10.022632607400174
0.025875525,14.39998295257815,14.398865678720249,1.0001503,0.0017969452013086899,10.450337757192576,10.450400783287808,7.9378809,1.0000225,1.0000227,10.449773048437391
0.027909512,15.531916628349583,15.53062166076568,1.0001372,0.0017969438114038773,10.834756527257527,10.834829192637912,7.9377688,1.0000215,1.0000217,10.834137659232695
0.029960221,16.673156260809158,16.67167446453293,1.0001242,0.0017969420508577813,11.181458072114456,11.181539264554782,7.9376556,1.0000202,1.0000204,11.180787608734883
0.032027754,17.823758613955334,17.822081359234677,1.0001114,0.0017969399752665943,11.495013266634615,11.495104839843568,7.937542,1.0000187,1.0000188,11.494293864967334
0.034112212,18.983779895276786,18.98189933030792,1.0000989,0.0017969376772906372,11.779472278920124,11.779572935301626,7.9374292,1.000017,1.0000171,11.778706647730115
0.036213698,20.153277425281747,20.15118612804392,1.0000868,0.0017969351939940387,12.038391819821614,12.038502856971743,7.9373178,1.0000151,1.0000153,12.037582527795225
0.038332312,21.332306854949103,21.329997762859602,1.0000749,0.0017969325995050545,12.274861650972388,12.274981400553328,7.9372087,1.0000132,1.0000134,12.27401106221749
0.040468156,22.520924948277308,22.51839169068164,1.0000635,0.0017969299308878146,12.491562420499355,12.491691623994578,7.9371022,1.0000112,1.0000114,12.49067286284127
0.042621331,23.719187912755032,23.71642482344176,1.0000525,0.001796927225206446,12.690809781289675,12.690946584990499,7.9369989,1.0000092,1.0000094,12.68988344689213
0.04479194,24.92715306889052,24.9241551985484,1.0000419,0.001796924538057141,12.874613895039511,12.87475904042941,7.9368991,1.0000072,1.0000074,12.873652810115319
0.046980082,26.144875511152858,26.14163770075134,1.0000318,0.0017969218509078363,13.044721882182863,13.044873515553153,7.936803,1.0000052,1.0000054,13.043727983152408
0.04918586,27.3724125600503,27.368930752539995,1.0000221,0.0017969192193547244,13.202665091462993,13.202823768926283,7.936711,1.0000033,1.0000035,13.201640204349355
0.051409373,28.60981931005193,28.60608962225052,1.000013,0.0017969166619298692,13.34978560796661,13.349949846555948,7.9366231,1.0000014,1.0000016,13.348731469638865
0.053650723,29.857152525156202,29.8531722429388,1.0000043,0.0017969141601012063,13.487268507654932,13.48743849274119,7.9365394,0.99999952,0.9999997,13.48618668020986
0.055910009,31.114467299832214,31.110232743406446,0.99999603,0.0017969117509328643,13.616157428516658,13.616331677132886,7.9364599,0.99999773,0.99999791,13.615049329830297
