ReTau,MaBulk,MaCent,uTau,expMu
547.0421544933256,3.0,3.4,0.050879653591479834,0.75
y,ypl,yst,rho,mu,u,u_fav,P,T,T_fav,ust
0.0,0.0,0.0,1.0,0.001828012689307659,0.0,0.0,0.082766201,1.0,1.0,0.0
0.000909091,0.4973110992704919,0.49716883153506003,0.9981893853820185,0.0018294175699612469,0.4979802379048209,0.5054931231746217,0.082753833,1.0006486,1.0011376,0.49747765947186284
0.0027349484,1.4961320651640737,1.493200215539744,0.9963787707640369,0.0018308224506148351,1.4914676819401056,1.5093259796261604,0.082741465,1.0017039,1.002807,1.487972964734349
0.0045762069,2.5033780819832225,2.4953026579147504,0.9950806141368636,0.0018319535853784212,2.4821664670521355,2.506316199081871,0.082730039,1.0025533,1.0039766,2.473932815560964
0.0064329679,3.5191046198024045,3.503402745527949,0.9938390991166786,0.00183308356979072,3.463048341773808,3.4907621703961813,0.082708091,1.0033912,1.0049641,3.4484658636488286
0.0083053324,4.543366929879223,4.51740649981136,0.9926870989203977,0.0018343277595701893,4.4230835729920415,4.452552523626782,0.082691918,1.0043055,1.0059336,4.400385883960475
0.010193402,5.576220591696575,5.536577284242081,0.9913564524374389,0.0018356742551813797,5.349832414063083,5.379697004183925,0.082662432,1.0052906,1.0069246,5.317227895189601
0.012097278,6.617721020624709,6.561432815624819,0.9900677839982382,0.0018370642189846653,6.232185512621085,6.261501356867512,0.082636752,1.0063056,1.0079221,6.1881565913711265
0.014017061,7.667923249104369,7.591529642988711,0.9886358343366215,0.0018384369463768555,7.061838566844489,7.089910691931425,0.082596986,1.0073073,1.0088962,7.005322807910741
0.015952855,8.726884169519622,8.627883232165049,0.9872834321095233,0.0018397465175975373,7.8337978320423405,7.860215857817286,0.082559623,1.0082627,1.0098212,7.7642243625999985
0.017904759,9.794657939043761,9.6700290978585,0.9858326019122439,0.0018409635515433335,8.546120095299045,8.570649743437391,0.082508377,1.0091505,1.0106796,8.463349229004438
0.019872877,10.871301450060857,10.71915063987815,0.9844793371226027,0.0018420718867215645,9.199330910507218,9.221935034529645,0.082458839,1.0099592,1.0114612,9.103554287244485
0.021857309,11.956869406786355,11.77461410463566,0.9830499751486148,0.0018430652622039114,9.795738272940234,9.816463256810339,0.082396223,1.010684,1.0121627,9.687378207753493
0.023858158,13.051418154562173,12.8376680382061,0.9817204787490468,0.001843943432833543,10.338789533112864,10.3578057789342,0.082335279,1.0113249,1.0127838,10.218412876206651
0.025875525,14.15500294464591,13.90750498428525,0.9803266735198859,0.0018447106605676876,10.832559207759527,10.850037117635646,0.082262544,1.0118849,1.0133278,10.700812168416215
