ReTau,MaBulk,MaCent,uTau,expMu
543.6279315541897,4.0,4.5,0.049203074320887254,0.75
y,ypl,yst,rho,mu,u,u_fav,P,T,T_fav,ust
0.0,0.0,0.0,1.0,0.0018394934144407892,0.0,0.0,0.047812242,1.0,1.0,0.0
0.000909091,0.49420725992452985,0.49256374925637,0.9939995846720658,0.0018416830419300952,0.49494596295300874,0.5241343016863537,0.047742118,1.0015565,1.0041409,0.4935117997902581
0.0027349484,1.4867943415994407,1.4756161109473,0.9879991693441317,0.0018438726694194013,1.472835813619811,1.5403135687362342,0.047671994,1.0032996,1.0087554,1.463457191380229
0.0045762069,2.4877538914110104,2.464705726722729,0.985101113685522,0.0018444117095211775,2.44063712801421,2.530856084070693,0.047615505,1.0037983,1.0105242,2.420731195625747
0.0064329679,3.4971410332314994,3.460060881620415,0.9827835838134105,0.0018447328151709932,3.3973588501773455,3.50090481900794,0.047537165,1.0040815,1.0112407,3.3658275290965496
0.0083053324,4.515010673481994,4.461803296033248,0.9813444958548871,0.0018455857324881635,4.336070925337106,4.446661372684216,0.047496881,1.0047163,1.0118654,4.2909216897203235
0.010193402,5.5414180447603405,5.46604200042268,0.9793320686831071,0.0018470900436830745,5.246311608834145,5.359882764237088,0.047440456,1.0058058,1.0127401,5.184587897305098
0.012097278,6.576418216576005,6.474493912686119,0.9776979165937509,0.0018491028496269585,6.11792503120508,6.231286443616503,0.047415038,1.0072563,1.0138893,6.036601351643259
0.014017061,7.620065877898901,7.484389536382161,0.9755474512164674,0.0018514059882006279,6.942818608693798,7.053982800677593,0.047373377,1.0089145,1.0152315,6.83952646952471
0.015952855,8.672417566033912,8.49912454888905,0.973763687738726,0.0018538214615779931,7.715786569028237,7.823076612848913,0.047353532,1.0106543,1.0166651,7.589089742498259
0.017904759,9.733527100146262,9.51626607137553,0.971621342255884,0.0018562108291134598,8.434330897568122,8.536843597630419,0.047316462,1.0123762,1.0181092,8.283711286893382
0.019872877,10.80345101754083,10.53964331397009,0.9698335654969817,0.0018584903851569835,9.098288189889828,9.195330703308,0.047294065,1.01402,1.0195032,8.923947987938229
0.021857309,11.882243681010774,11.566615362156769,0.967775032257914,0.0018606062864096468,9.709215665761786,9.800539837310403,0.047254238,1.0155467,1.0208114,9.511871673034701
0.023858158,12.969961084233043,12.600987714817121,0.9660300016099789,0.0018625353297866802,10.269851162237051,10.355415937570871,0.047224502,1.0169393,1.0220118,10.050528578432608
0.025875525,14.066658133628724,13.639855281321749,0.9640593872279659,0.0018642673271797266,10.783622920382431,10.863546584793186,0.047178195,1.0181901,1.0230967,10.543515387580607
0.027909512,15.172390279246835,14.686922694908082,0.9623572893552383,0.0018658060350980126,11.254282128564657,11.328896368643585,0.047139406,1.0193017,1.0240635,10.994639909350278
0.029960221,16.287212971136395,15.73911345114549,0.9604602206837978,0.0018671590614213356,11.685635053009669,11.755218713121463,0.047085679,1.0202794,1.0249168,11.407704389821696
0.032027754,17.411181659346425,16.80003793634496,0.9587942423415161,0.0018683395918765275,12.081367032540351,12.14641540693921,0.047038189,1.0211325,1.0256621,11.786345305094379
0.034112212,18.54435125029801,17.8665473439172,0.9569604528474464,0.0018693608121904193,12.444937810320106,12.505764497296644,0.046977784,1.0218704,1.0263079,12.133957209572493
0.036213698,19.6867777376681,18.942164297903442,0.9553299407107706,0.0018702379001780693,12.779530317540965,12.83666455231797,0.046923065,1.0225042,1.0268622,12.453645011465651
0.038332312,20.838515484249843,20.0237418169888,0.9535579370801512,0.0018709845348452976,13.088029739772319,13.14175869952713,0.046857547,1.0230436,1.0273339,12.748217150519832
0.040468156,21.99961994009227,21.11470635207912,0.9519683977441625,0.0018716149643659902,13.373029207662217,13.423849406085031,0.046797529,1.0234989,1.0277312,13.020189648799114
0.042621331,23.170146011616463,22.211968131324248,0.9502627532508744,0.0018721416345484942,13.636839552425362,13.684989389253634,0.046728737,1.0238791,1.0280624,13.271803466215644
0.04479194,24.35014969249937,23.3188434233064,0.9487237999239342,0.001872576877367544,13.881514913999048,13.92743135379844,0.046665416,1.0241932,1.0283347,13.505046543597484
0.046980082,25.53968480190622,24.4323369477027,0.9470924477981785,0.0018729312414046048,14.108876926523761,14.152746949480512,0.046595158,1.0244486,1.0285551,13.721682087230228
0.04918586,26.738807333513954,25.555638443618196,0.9456151870025689,0.0018732150475739156,14.320545204243125,14.362737486507056,0.046530382,1.024653,1.0287298,13.923274859491675
0.051409373,27.947571106487807,26.685871398453564,0.9440665271351473,0.0018734369851745975,14.517961526984497,14.558616506934618,0.046460268,1.0248125,1.0288647,14.111218216164387
0.053650723,29.16603157087679,27.826085366308106,0.9426611320719497,0.0018736054778940078,14.702415245075589,14.74183473312121,0.046395621,1.0249334,1.0289649,14.286755937610659
0.055910009,30.394242545846126,28.973536702456148,0.9412023510361032,0.0018737275644438785,14.875060351448422,14.913344341341313,0.046326985,1.0250206,1.0290351,14.451001632055933
0.058187332,31.63225893781691,30.13112343650052,0.9398772215961191,0.001873810074840986,15.036934382897284,15.074325339161556,0.046263749,1.0250792,1.0290793,14.604954652028335
0.060482793,32.880135653210225,31.29624423200478,0.9385137326548088,0.0018738585869323646,15.18897325655003,15.225539467601525,0.046197633,1.0251132,1.0291016,14.7495164454804
0.06279649,34.137925967563355,32.4716373349031,0.9372744687652392,0.0018738786026759717,15.332026512818043,15.367961056022986,0.046136785,1.0251265,1.029105,14.88550348560032
