# 
# DNS of variable property channel flow by A. Patel, Delft University of Technology 
# 
# Literature sources
#
#    Scalar statistics in variable property turbulent channel flows,
#    A Patel, BJ Boersma, R Pecnik,
#    Physical Review Fluids 2 (8), 084604, 2017
#
#    Scaling and modelling of turbulence in variable property channel flows
#    R Pecnik, A Patel,
#    Journal of Fluid Mechanics 823, 2017
#
#    The influence of near-wall density and viscosity gradients on turbulence in channel flows
#    A Patel, BJ Boersma, R Pecnik,
#    Journal of Fluid Mechanics 809, 793–820, 2016
#
#    Semi-local scaling and turbulence modulation in variable property turbulent channel flows
#    A Patel, JWR Peeters, BJ Boersma, R Pecnik
#    Physics of Fluids 27 (9), 095101, 2015
#
#
# General description
#
#    The DNS solves the low-Mach number approximation of Navier-Stokes equations in cartesian coordinates. 
#    The flow is driven by a constant streamwise pressure gradient dp/dx. 
#    Gradients in temperature, and consequently in properties, are achieved using a uniform 
#    volumetric heat source phi/(ReTau*Pr_wall) in the temperature transport equation, 
#    while the temperature at the wall is fixed at a non-dimensional value of 1. 
#
#    Density (rho), dyn. viscosity (mu) and thermal conductivity (lambda) are related to temperature as follows,
#         rho = (T/Twall)^expRho
#          mu = (T/Twall)^expMu
#         lam = (T/Twall)^expLam
#
# Simulation parameters
#
#      ReTau       Pr          expRho      expMu       expLam      phi  
#      395.0       1.0         -1.0        -0.5        0.0         95.0
#
#
# Notation
#
#    <X>   - Reynolds-averaged quantity
#    {X}   - Favre-averaged quantity
#     X''  - Fluctuation from Favre decomposition
#
#    Unless specified otherwise, velocity statistics are normalized with u_tau,
#    temperature statistics and properties are normalized using wall values. 
#    In the following, the velocity components along the streamwise x, wall-normal y, and 
#    spanwise z directions are denoted as u, v, and w, respectively.   
#
#
# The columns correspond to
#  [ 1]  ...            y, wall normal coordinate 
#  [ 2]  ...           y+, wall distance based on viscous units 
#  [ 3]  ...           y*, wall distance based on semi-local units 
#  [ 4]  ...         Ret*, semi-local Reynolds number
#  [ 5]  ...          Pr*, local Prandtl number
#  [ 6]  ...        <rho>, Reynolds averaged density 
#  [ 7]  ...         <mu>, Reynolds averaged dynamic viscosity
#  [ 8]  ...     <lambda>, Reynolds averaged thermal conductivity 
#  [ 9]  ...         <u+>, streamwise velocity normalised by friction velocity 
#  [10]  ...         {u+}, streamwise velocity normalised by friction velocity (Favre averaged)
#  [11]  ...          uvd, van Driest transformed velocity
#  [12]  ...           u*, semi-locally transformed velocity (based on <u+>)
#  [13]  ...          u*2, semi-locally transformed velocity (based on {u+})   
#  [14]  ...          <T>, Reynolds-averaged temperature
#  [15]  ...          {T}, Favre-averaged temperature
#  [16]  ...         <T+>, Reynolds-averaged temperature
#  [17]  ...          Tvd, van Driest transformed temperature
#  [18]  ...           T*, semi-locally transformed temperature
#  [19]  ...  <rho>{u"u"}, turbulent stress in streamwise direction
#  [20]  ...  <rho>{v"v"}, turbulent stress in wall-normal direction
#  [21]  ...  <rho>{w"w"}, turbulent stress in span wise direction
#  [22]  ...  <rho>{u"v"}, turbulent shear stress
#  [23]  ...  <rho>{T"T"}, turbulent temperature fluctuations squared  
#  [24]  ...  <rho>{v"T"}, wall-normal turbulent heat flux
#  [25]  ...  <rho>{u"T"}, streamwise turbulent heat flux
#  [26]  ...        <u'2>, Reynolds averaged streamwise velocity fluctuation squared
#  [27]  ...        <v'2>, Reynolds averaged wall-normal velocity fluctuation squared
#  [28]  ...        <w'2>, Reynolds averaged spanwise velocity fluctuation squared
#  [29]  ...        <T'2>, Reynolds averaged temperature fluctuation squared
#  [30]  ...          eps, turbulent dissipation
#  [31]  ...         tdif, turbulent diffusion
#  [32]  ...         vdif, viscous diffusion
#
#
y,y+,y*,Ret*,Pr*,<rho>,<mu>,<lambda>,<u+>,{u+},uvd,u*,u*2,<T>,{T},<T+>,Tvd,T*,<rho>{u"u"},<rho>{v"v"},<rho>{w"w"},<rho>{u"v"},<rho>{T"T"},<rho>{v"T"},<rho>{u"T"},<u'2>,<v'2>,<w'2>,<T'2>,eps,tdif,vdif,epsSLS,prodSLS,transSLS,compSLS,densSLS
2.409600E-02,9.518100E+00,9.580300E+00,3.975800E+02,5.806000E-01,3.415100E-01,1.469900E-03,2.531600E-03,1.180100E+01,1.084600E+01,8.539600E+00,8.562300E+00,7.888300E+00,3.084100E+00,2.928100E+00,8.665300E+00,6.375200E+00,6.391400E+00,6.586800E+00,9.493900E-02,8.870800E-01,-3.561100E-01,1.559300E-01,-5.615200E-02,9.551300E-01,2.065500E+01,3.110300E-01,2.966100E+00,4.932600E-01,-1.101900E+02,1.548800E+01,-3.645100E+01,-5.751300E+01,8.436900E+01,-1.472260E+01,-1.080700E+01,-1.326400E+00
2.705100E-02,1.068500E+01,1.075700E+01,3.976700E+02,5.628400E-01,3.210900E-01,1.424900E-03,2.531600E-03,1.304100E+01,1.200200E+01,9.253700E+00,9.277900E+00,8.555200E+00,3.285400E+00,3.114400E+00,9.502300E+00,6.857200E+00,6.874400E+00,7.145600E+00,1.233400E-01,9.749300E-01,-4.193700E-01,1.709700E-01,-6.775500E-02,1.039600E+00,2.343700E+01,4.238900E-01,3.450500E+00,5.692200E-01,-1.102700E+02,2.087900E+00,-3.520200E+01,-5.764900E+01,8.950500E+01,-1.924170E+01,-1.035800E+01,-2.256300E+00
3.008300E-02,1.188300E+01,1.196500E+01,3.977400E+02,5.472600E-01,3.036600E-01,1.385500E-03,2.531600E-03,1.420500E+01,1.309900E+01,9.904400E+00,9.929500E+00,9.169300E+00,3.477300E+00,3.293200E+00,1.030000E+01,7.303200E+00,7.321100E+00,7.563400E+00,1.550500E-01,1.056900E+00,-4.787700E-01,1.840700E-01,-7.928700E-02,1.106500E+00,2.581900E+01,5.560400E-01,3.932100E+00,6.415500E-01,-1.095000E+02,-9.597700E+00,-3.181700E+01,-5.703200E+01,9.145100E+01,-2.186650E+01,-9.445900E+00,-3.106600E+00
3.319300E-02,1.311100E+01,1.320300E+01,3.977700E+02,5.335500E-01,2.886900E-01,1.350800E-03,2.531600E-03,1.528600E+01,1.413000E+01,1.049300E+01,1.051900E+01,9.731400E+00,3.659100E+00,3.463900E+00,1.105600E+01,7.715000E+00,7.733200E+00,7.848500E+00,1.896800E-01,1.132400E+00,-5.331300E-01,1.952100E-01,-9.047900E-02,1.156600E+00,2.777300E+01,7.066200E-01,4.402500E+00,7.090300E-01,-1.078800E+02,-1.865100E+01,-2.744500E+01,-5.575300E+01,9.069200E+01,-2.300740E+01,-8.417500E+00,-3.514100E+00
3.637900E-02,1.437000E+01,1.447100E+01,3.977900E+02,5.214500E-01,2.757600E-01,1.320100E-03,2.531600E-03,1.628400E+01,1.509300E+01,1.102300E+01,1.104900E+01,1.024400E+01,3.830800E+00,3.626300E+00,1.177000E+01,8.094300E+00,8.112700E+00,8.014800E+00,2.267700E-01,1.201200E+00,-5.818100E-01,2.044500E-01,-1.011200E-01,1.191000E+00,2.930300E+01,8.742800E-01,4.854900E+00,7.707800E-01,-1.055300E+02,-2.485000E+01,-2.285300E+01,-5.397500E+01,8.799500E+01,-2.297066E+01,-7.295900E+00,-3.753440E+00
3.964200E-02,1.565800E+01,1.576900E+01,3.977800E+02,5.107300E-01,2.645300E-01,1.293000E-03,2.531600E-03,1.719900E+01,1.598800E+01,1.149900E+01,1.152500E+01,1.070900E+01,3.992200E+00,3.780300E+00,1.244100E+01,8.443400E+00,8.461700E+00,8.079200E+00,2.658100E-01,1.263000E+00,-6.246800E-01,2.118700E-01,-1.110800E-01,1.211400E+00,3.043700E+01,1.057300E+00,5.283800E+00,8.263100E-01,-1.026100E+02,-2.841700E+01,-1.848700E+01,-5.186100E+01,8.382500E+01,-2.187292E+01,-6.154100E+00,-3.936980E+00
4.298000E-02,1.697700E+01,1.709600E+01,3.977600E+02,5.011900E-01,2.547100E-01,1.268800E-03,2.531600E-03,1.803600E+01,1.681600E+01,1.192600E+01,1.195200E+01,1.113100E+01,4.143600E+00,3.926000E+00,1.307100E+01,8.764500E+00,8.782600E+00,8.059300E+00,3.062800E-01,1.318100E+00,-6.618900E-01,2.176100E-01,-1.202600E-01,1.219900E+00,3.121300E+01,1.253500E+00,5.685300E+00,8.753600E-01,-9.929800E+01,-2.981300E+01,-1.457600E+01,-4.955600E+01,7.877800E+01,-2.018428E+01,-5.161100E+00,-3.876620E+00
4.639300E-02,1.832500E+01,1.845200E+01,3.977200E+02,4.926700E-01,2.460900E-01,1.247300E-03,2.531600E-03,1.880000E+01,1.758200E+01,1.230900E+01,1.233400E+01,1.151400E+01,4.285400E+00,4.063700E+00,1.366000E+01,9.060000E+00,9.077800E+00,7.972200E+00,3.476600E-01,1.366600E+00,-6.938100E-01,2.218200E-01,-1.286300E-01,1.218300E+00,3.167900E+01,1.460600E+00,6.057200E+00,9.179400E-01,-9.573400E+01,-2.956300E+01,-1.121700E+01,-4.716500E+01,7.334600E+01,-1.815911E+01,-4.277100E+00,-3.744790E+00
4.988000E-02,1.970300E+01,1.983600E+01,3.976800E+02,4.850300E-01,2.384600E-01,1.227900E-03,2.531600E-03,1.949700E+01,1.828900E+01,1.265300E+01,1.267700E+01,1.186200E+01,4.418200E+00,4.193600E+00,1.421300E+01,9.332100E+00,9.349400E+00,7.833500E+00,3.894500E-01,1.408900E+00,-7.209600E-01,2.246700E-01,-1.361700E-01,1.208500E+00,3.188400E+01,1.676300E+00,6.399100E+00,9.542400E-01,-9.202400E+01,-2.817900E+01,-8.425300E+00,-4.476200E+01,6.780600E+01,-1.596862E+01,-3.517700E+00,-3.557680E+00
5.344200E-02,2.111000E+01,2.125000E+01,3.976300E+02,4.781500E-01,2.316800E-01,1.210500E-03,2.531600E-03,2.013400E+01,1.894200E+01,1.296200E+01,1.298600E+01,1.217900E+01,4.542500E+00,4.316300E+00,1.472900E+01,9.583000E+00,9.599900E+00,7.656800E+00,4.311700E-01,1.445600E+00,-7.438400E-01,2.263100E-01,-1.429200E-01,1.192200E+00,3.187500E+01,1.898100E+00,6.711700E+00,9.845800E-01,-8.824800E+01,-2.608300E+01,-6.165000E+00,-4.239400E+01,6.239600E+01,-1.380252E+01,-2.884800E+00,-3.314680E+00
