# 
# DNS of variable property channel flow by A. Patel, Delft University of Technology 
# 
# Literature sources
#
#    Scalar statistics in variable property turbulent channel flows,
#    A Patel, BJ Boersma, R Pecnik,
#    Physical Review Fluids 2 (8), 084604, 2017
#
#    Scaling and modelling of turbulence in variable property channel flows
#    R Pecnik, A Patel,
#    Journal of Fluid Mechanics 823, 2017
#
#    The influence of near-wall density and viscosity gradients on turbulence in channel flows
#    A Patel, BJ Boersma, R Pecnik,
#    Journal of Fluid Mechanics 809, 793–820, 2016
#
#    Semi-local scaling and turbulence modulation in variable property turbulent channel flows
#    A Patel, JWR Peeters, BJ Boersma, R Pecnik
#    Physics of Fluids 27 (9), 095101, 2015
#
#
# General description
#
#    The DNS solves the low-Mach number approximation of Navier-Stokes equations in cartesian coordinates. 
#    The flow is driven by a constant streamwise pressure gradient dp/dx. 
#    Gradients in temperature, and consequently in properties, are achieved using a uniform 
#    volumetric heat source phi/(ReTau*Pr_wall) in the temperature transport equation, 
#    while the temperature at the wall is fixed at a non-dimensional value of 1. 
#
#    Density (rho), dyn. viscosity (mu) and thermal conductivity (lambda) are related to temperature as follows,
#         rho = (T/Twall)^expRho
#          mu = (T/Twall)^expMu
#         lam = (T/Twall)^expLam
#
# Simulation parameters
#
#      ReTau       Pr          expRho      expMu       expLam      phi  
#      150.0       1.0         0.0         -1.0        0.0         62.0
#
#
# Notation
#
#    <X>   - Reynolds-averaged quantity
#    {X}   - Favre-averaged quantity
#     X''  - Fluctuation from Favre decomposition
#
#    Unless specified otherwise, velocity statistics are normalized with u_tau,
#    temperature statistics and properties are normalized using wall values. 
#    In the following, the velocity components along the streamwise x, wall-normal y, and 
#    spanwise z directions are denoted as u, v, and w, respectively.   
#
#
# The columns correspond to
#  [ 1]  ...            y, wall normal coordinate 
#  [ 2]  ...           y+, wall distance based on viscous units 
#  [ 3]  ...           y*, wall distance based on semi-local units 
#  [ 4]  ...         Ret*, semi-local Reynolds number
#  [ 5]  ...          Pr*, local Prandtl number
#  [ 6]  ...        <rho>, Reynolds averaged density 
#  [ 7]  ...         <mu>, Reynolds averaged dynamic viscosity
#  [ 8]  ...     <lambda>, Reynolds averaged thermal conductivity 
#  [ 9]  ...         <u+>, streamwise velocity normalised by friction velocity 
#  [10]  ...         {u+}, streamwise velocity normalised by friction velocity (Favre averaged)
#  [11]  ...          uvd, van Driest transformed velocity
#  [12]  ...           u*, semi-locally transformed velocity (based on <u+>)
#  [13]  ...          u*2, semi-locally transformed velocity (based on {u+})   
#  [14]  ...          <T>, Reynolds-averaged temperature
#  [15]  ...          {T}, Favre-averaged temperature
#  [16]  ...         <T+>, Reynolds-averaged temperature
#  [17]  ...          Tvd, van Driest transformed temperature
#  [18]  ...           T*, semi-locally transformed temperature
#  [19]  ...  <rho>{u"u"}, turbulent stress in streamwise direction
#  [20]  ...  <rho>{v"v"}, turbulent stress in wall-normal direction
#  [21]  ...  <rho>{w"w"}, turbulent stress in span wise direction
#  [22]  ...  <rho>{u"v"}, turbulent shear stress
#  [23]  ...  <rho>{T"T"}, turbulent temperature fluctuations squared  
#  [24]  ...  <rho>{v"T"}, wall-normal turbulent heat flux
#  [25]  ...  <rho>{u"T"}, streamwise turbulent heat flux
#  [26]  ...        <u'2>, Reynolds averaged streamwise velocity fluctuation squared
#  [27]  ...        <v'2>, Reynolds averaged wall-normal velocity fluctuation squared
#  [28]  ...        <w'2>, Reynolds averaged spanwise velocity fluctuation squared
#  [29]  ...        <T'2>, Reynolds averaged temperature fluctuation squared
#  [30]  ...          eps, turbulent dissipation
#  [31]  ...         tdif, turbulent diffusion
#  [32]  ...         vdif, viscous diffusion
#
#
y,y+,y*,Ret*,Pr*,<rho>,<mu>,<lambda>,<u+>,{u+},uvd,u*,u*2,<T>,{T},<T+>,Tvd,T*,<rho>{u"u"},<rho>{v"v"},<rho>{w"w"},<rho>{u"v"},<rho>{T"T"},<rho>{v"T"},<rho>{u"T"},<u'2>,<v'2>,<w'2>,<T'2>,eps,tdif,vdif
2.277200E-02,3.415900E+00,7.683200E+00,3.373900E+02,4.445900E-01,1.000000E+00,2.963900E-03,6.666700E-03,5.258200E+00,5.258200E+00,5.258200E+00,7.098100E+00,7.098100E+00,2.337300E+00,2.337300E+00,3.190900E+00,3.190900E+00,4.232200E+00,4.812500E+00,1.306300E-01,9.662500E-01,-3.457200E-01,2.244000E-01,-7.838500E-02,9.239300E-01,4.812500E+00,1.306300E-01,9.662500E-01,2.244000E-01,-5.657000E+01,6.286400E+00,-3.291400E+01
2.560300E-02,3.840400E+00,9.126700E+00,3.564800E+02,4.207900E-01,1.000000E+00,2.805200E-03,6.666700E-03,5.884100E+00,5.884100E+00,5.884100E+00,8.018000E+00,8.018000E+00,2.473400E+00,2.473400E+00,3.515600E+00,3.515600E+00,4.709400E+00,5.425200E+00,1.726200E-01,1.079400E+00,-4.239200E-01,2.577200E-01,-9.859700E-02,1.051700E+00,5.425200E+00,1.726200E-01,1.079400E+00,2.577200E-01,-5.684300E+01,-6.525200E+00,-2.795500E+01
2.851300E-02,4.277000E+00,1.069000E+01,3.749300E+02,4.000700E-01,1.000000E+00,2.667200E-03,6.666700E-03,6.468000E+00,6.468000E+00,6.468000E+00,8.875800E+00,8.875800E+00,2.603900E+00,2.603900E+00,3.827100E+00,3.827100E+00,5.167000E+00,5.874500E+00,2.192600E-01,1.184800E+00,-4.966700E-01,2.884900E-01,-1.191100E-01,1.155800E+00,5.874500E+00,2.192600E-01,1.184800E+00,2.884900E-01,-5.688700E+01,-1.647900E+01,-2.138300E+01
3.150400E-02,4.725600E+00,1.237100E+01,3.926700E+02,3.820000E-01,1.000000E+00,2.546600E-03,6.666700E-03,7.005500E+00,7.005500E+00,7.005500E+00,9.662300E+00,9.662300E+00,2.728400E+00,2.728400E+00,4.124100E+00,4.124100E+00,5.601600E+00,6.169800E+00,2.696600E-01,1.281400E+00,-5.617800E-01,3.163100E-01,-1.393100E-01,1.236000E+00,6.169800E+00,2.696600E-01,1.281400E+00,3.163100E-01,-5.645000E+01,-2.259900E+01,-1.500800E+01
3.457400E-02,5.186100E+00,1.416300E+01,4.096500E+02,3.661700E-01,1.000000E+00,2.441100E-03,6.666700E-03,7.495300E+00,7.495300E+00,7.495300E+00,1.037500E+01,1.037500E+01,2.846500E+00,2.846500E+00,4.405900E+00,4.405900E+00,6.011700E+00,6.333800E+00,3.229300E-01,1.367700E+00,-6.184900E-01,3.409800E-01,-1.587300E-01,1.294100E+00,6.333800E+00,3.229300E-01,1.367700E+00,3.409800E-01,-5.546200E+01,-2.520000E+01,-9.784800E+00
3.772300E-02,5.658400E+00,1.606400E+01,4.258300E+02,3.522500E-01,1.000000E+00,2.348300E-03,6.666700E-03,7.939100E+00,7.939100E+00,7.939100E+00,1.101600E+01,1.101600E+01,2.958200E+00,2.958200E+00,4.672400E+00,4.672400E+00,6.396600E+00,6.393100E+00,3.782100E-01,1.442800E+00,-6.669000E-01,3.625000E-01,-1.770300E-01,1.333100E+00,6.393100E+00,3.782100E-01,1.442800E+00,3.625000E-01,-5.397500E+01,-2.520400E+01,-5.986500E+00
4.095000E-02,6.142500E+00,1.806800E+01,4.412200E+02,3.399700E-01,1.000000E+00,2.266500E-03,6.666700E-03,8.339800E+00,8.339800E+00,8.339800E+00,1.159000E+01,1.159000E+01,3.063600E+00,3.063600E+00,4.923800E+00,4.923800E+00,6.756600E+00,6.372300E+00,4.346600E-01,1.506200E+00,-7.075700E-01,3.809400E-01,-1.940300E-01,1.355700E+00,6.372300E+00,4.346600E-01,1.506200E+00,3.809400E-01,-5.213700E+01,-2.363900E+01,-3.386600E+00
4.425500E-02,6.638200E+00,2.017200E+01,4.558200E+02,3.290800E-01,1.000000E+00,2.193800E-03,6.666700E-03,8.701100E+00,8.701100E+00,8.701100E+00,1.210300E+01,1.210300E+01,3.162800E+00,3.162800E+00,5.160600E+00,5.160600E+00,7.092700E+00,6.292600E+00,4.914300E-01,1.557800E+00,-7.412800E-01,3.964400E-01,-2.096100E-01,1.364900E+00,6.292600E+00,4.914300E-01,1.557800E+00,3.964400E-01,-5.012300E+01,-2.129700E+01,-1.553900E+00
4.763700E-02,7.145600E+00,2.237300E+01,4.696700E+02,3.193800E-01,1.000000E+00,2.129200E-03,6.666700E-03,9.026900E+00,9.026900E+00,9.026900E+00,1.256100E+01,1.256100E+01,3.256200E+00,3.256200E+00,5.383500E+00,5.383500E+00,7.406200E+00,6.172000E+00,5.476800E-01,1.598600E+00,-7.688500E-01,4.091800E-01,-2.237200E-01,1.363500E+00,6.172000E+00,5.476800E-01,1.598600E+00,4.091800E-01,-4.797400E+01,-1.848200E+01,-3.260300E-01
5.109600E-02,7.664400E+00,2.466900E+01,4.827900E+02,3.106900E-01,1.000000E+00,2.071300E-03,6.666700E-03,9.321200E+00,9.321200E+00,9.321200E+00,1.297100E+01,1.297100E+01,3.344200E+00,3.344200E+00,5.593400E+00,5.593400E+00,7.698500E+00,6.025800E+00,6.026600E-01,1.630300E+00,-7.911800E-01,4.193700E-01,-2.363800E-01,1.353800E+00,6.025800E+00,6.026600E-01,1.630300E+00,4.193700E-01,-4.571100E+01,-1.549300E+01,3.621700E-01
5.463100E-02,8.194600E+00,2.705500E+01,4.952400E+02,3.028800E-01,1.000000E+00,2.019200E-03,6.666700E-03,9.587600E+00,9.587600E+00,9.587600E+00,1.333900E+01,1.333900E+01,3.427000E+00,3.427000E+00,5.791100E+00,5.791100E+00,7.971400E+00,5.864700E+00,6.557600E-01,1.654600E+00,-8.090900E-01,4.272200E-01,-2.476300E-01,1.338000E+00,5.864700E+00,6.557600E-01,1.654600E+00,4.272200E-01,-4.345700E+01,-1.275600E+01,7.381300E-01
5.824100E-02,8.736100E+00,2.953200E+01,5.070600E+02,2.958200E-01,1.000000E+00,1.972100E-03,6.666700E-03,9.829700E+00,9.829700E+00,9.829700E+00,1.367000E+01,1.367000E+01,3.505200E+00,3.505200E+00,5.977600E+00,5.977600E+00,8.226700E+00,5.696300E+00,7.064100E-01,1.674200E+00,-8.233600E-01,4.329100E-01,-2.575500E-01,1.317600E+00,5.696300E+00,7.064100E-01,1.674200E+00,4.329100E-01,-4.132000E+01,-1.050900E+01,9.361900E-01
6.192600E-02,9.288900E+00,3.209700E+01,5.183000E+02,2.894100E-01,1.000000E+00,1.929400E-03,6.666700E-03,1.005100E+01,1.005100E+01,1.005100E+01,1.397100E+01,1.397100E+01,3.579100E+00,3.579100E+00,6.153900E+00,6.153900E+00,8.465900E+00,5.525700E+00,7.541700E-01,1.691700E+00,-8.347500E-01,4.366700E-01,-2.662500E-01,1.294000E+00,5.525700E+00,7.541700E-01,1.691700E+00,4.366700E-01,-3.930800E+01,-8.770100E+00,1.000600E+00
6.568600E-02,9.852900E+00,3.474800E+01,5.290100E+02,2.835500E-01,1.000000E+00,1.890300E-03,6.666700E-03,1.025500E+01,1.025500E+01,1.025500E+01,1.424600E+01,1.424600E+01,3.649000E+00,3.649000E+00,6.320800E+00,6.320800E+00,8.690800E+00,5.356700E+00,7.987800E-01,1.709500E+00,-8.439800E-01,4.387000E-01,-2.738300E-01,1.268300E+00,5.356700E+00,7.987800E-01,1.709500E+00,4.387000E-01,-3.737500E+01,-7.428200E+00,9.680100E-01
6.951900E-02,1.042800E+01,3.748600E+01,5.392100E+02,2.781800E-01,1.000000E+00,1.854600E-03,6.666700E-03,1.044500E+01,1.044500E+01,1.044500E+01,1.450000E+01,1.450000E+01,3.715500E+00,3.715500E+00,6.479300E+00,6.479300E+00,8.902600E+00,5.193300E+00,8.400600E-01,1.727400E+00,-8.516200E-01,4.393000E-01,-2.804100E-01,1.241500E+00,5.193300E+00,8.400600E-01,1.727400E+00,4.393000E-01,-3.547400E+01,-6.415300E+00,8.130100E-01
7.342600E-02,1.101400E+01,4.030800E+01,5.489600E+02,2.732400E-01,1.000000E+00,1.821600E-03,6.666700E-03,1.062400E+01,1.062400E+01,1.062400E+01,1.473600E+01,1.473600E+01,3.778600E+00,3.778600E+00,6.630100E+00,6.630100E+00,9.102800E+00,5.038600E+00,8.778100E-01,1.744100E+00,-8.580000E-01,4.387900E-01,-2.861300E-01,1.214500E+00,5.038600E+00,8.778100E-01,1.744100E+00,4.387900E-01,-3.360900E+01,-5.672400E+00,5.756100E-01
7.740600E-02,1.161100E+01,4.321300E+01,5.582700E+02,2.686900E-01,1.000000E+00,1.791300E-03,6.666700E-03,1.079200E+01,1.079200E+01,1.079200E+01,1.495700E+01,1.495700E+01,3.838900E+00,3.838900E+00,6.773800E+00,6.773800E+00,9.292300E+00,4.894300E+00,9.117500E-01,1.757300E+00,-8.634200E-01,4.375200E-01,-2.911900E-01,1.188200E+00,4.894300E+00,9.117500E-01,1.757300E+00,4.375200E-01,-3.189200E+01,-4.988500E+00,4.369200E-01
